title,Affected country,type,link,description
El Salvador: Floods and Landslides - Jun 2024,El Salvador,Flood,https://reliefweb.int/disaster/fl-2024-000098-slv,"Heavy rainfall has been affecting El Salvador since 15 June, causing floods, landslides and severe weather-related incidents, that have resulted in casualties and damage. According to the Pan American Health Organization (PAHO) and media reports, as of 17 June, at least 14 fatalities have been reported, including five in Tacuba district in Ahuachapán Department (western El Salvador) due to a landslide, two due to a severe weather-related incident, and four due to flooding. At least 744 people have been displaced in 30 active shelters, another 100 shelters are pre-equipped and available, and 26 homes have been destroyed. A national state of emergency was declared on 16 June. On 19-20 June, more very heavy rainfall is forecasted for the whole country. (ECHO, 19 Jun 2024)"
Liberia: Floods - Jun 2024,Liberia,Flood,https://reliefweb.int/disaster/fl-2024-000116-lbr,"According to Liberia’s National Disaster Management Agency (NDMA), recent unprecedented floods in Liberia have killed two people and displaced nearly 50,000. The torrential rains on 28 June displaced 8,000 people, and severely damaged homes, schools, and hospitals in Montserrado, Margibi, and Grand Bassa counties, according to a NDMA official. The NDMA has called for international support, with a USD 10 million requirement for emergency relief. With the rainy season far from over, an estimated 100,000 people remain at risk of flooding, storms, and coastal erosion, with heightened health risks anticipated. (OCHA, 16 Jul 2024)"
Nepal: Floods and Landslides - Jun 2024,Nepal,Flood,https://reliefweb.int/disaster/fl-2024-000103-npl,"Flood is the most severe of the hazards observed in Nepal in terms of physical and socioeconomic losses and destruction. Koshi, Karnali, and Narayani are the major river systems in Nepal, and floods from these large perennial river systems generally impact several districts in the Southern Terai plains. Moreover, rivers such as West Rapti, and Babai Rivers, which originate in the Mahabharat range, do more damage in the Terai floodplains because they frequently generate flash floods during the monsoon. Moreover, the Terai's vulnerable topography, combined with its dependency on agriculture, exacerbates the severity of flood hazards compared to other regions. (IFRC, 12 Jun 2024)"
Niger: Floods - Jun 2024,Niger,Flood,https://reliefweb.int/disaster/fl-2024-000120-ner,"As of 11 June, 26 communes across Niger have been affected by heavy rainfall and floods. The worst affected communes include 15 in Maradi in the south-central part of the country, five in Tahoua in the west, three in Tillabéri in the southwestern, two in Zinder in the south-centre, and one in Agadez in the north. According to UN OCHA, 18 people died, almost 4,000 people were affected, 329 houses were damaged and eight schools were destroyed. (ECHO, 19 Jun 2024)"
Pakistan: Floods and Landslides - Jun 2024,Pakistan,Flood,https://reliefweb.int/disaster/fl-2024-000118-pak,"Heavy rain and thunderstorms hit parts of Punjab Province, eastern Pakistan on 5 June, causing severe weather-related incidents and resulting in casualties and damage. According to media, at least six people died, of whom four in Gujranwala District and two in Khushab District, north-eastern Punjab, due to severe weather-related incidents and 40 others have been injured, most of them (30) in Narowal District. (ECHO, 7 Jun 2024)"
Honduras: Dengue Outbreak - May 2024,Honduras,Epidemic,https://reliefweb.int/disaster/ep-2024-000093-hnd,"This year, due to the escalating number of reported cases, the Secretariat of Health (SESAL) issued an epidemiological alert in February. By March, the incidence of cases had escalated to epidemic proportions. Despite extending the scope of the alert in May, the number of dengue cases and associated fatalities continued to rise. Consequently, a national emergency was declared on 31 May. According to data from the Epidemiological Alert issued by WHO on 24 May 2024, in Honduras, up to EW 19 of 2024, of the 20,563 dengue cases reported, 1,248 (6.0%) were laboratory-confirmed, and 266 (1.29%) were classified as severe dengue, as well as 27 deaths, with 11 of these fatalities directly attributed to the disease. The cases reported up to EW 19 of 2024 represent an increase of 445% compared to the same period of 2023, and 193% compared to the average of the last 5 years. In the same period, a total of 10 deaths were reported, corresponding to a case fatality rate of 0.049%. (IFRC, 14 Jun 2024)"
Burkina Faso: Floods - May 2024,Burkina Faso,Flood,https://reliefweb.int/disaster/fl-2024-000123-bfa,"Since April, there have been floods in several parts of the country, the worst of which occurred in Boulsa in the province of Namentenga, in the Centre-Nord region.
On the night of 29 May 2024, the town of Boulsa was hit by torrential rain between 8pm and 10pm. The rain, accompanied by strong winds, caused extensive material damage and loss of life (07 deaths, including 3 children under the age of 10 and 2 adults, a 35-year-old woman and a 50-year-old man, and 42 injured people treated in the various health centres. Two children under the age of 15 were evacuated to Ouagadougou for more appropriate care.
According to initial reports, as of 07 June, more than 1,000 households had been affected. This has been confirmed by the current registration, which shows a provisional total of more than 1,147 households, or 7,648 people affected, and 925 houses either completely or partially destroyed.
Burkina Faso is a country vulnerable to extreme rainfall and flooding, with major humanitarian consequences. Every year during the rainy season, thousands of people are affected. The country has in-country response capacity, but support remained needed. Official data from Department of Humanitarian Affairs (DHA) received on 13 June 2024 indicates the affected households that required assistance and local Government expressed their request for support to the NS. (IFRC, 22 Jul 2024)"
Myanmar: Cholera Outbreak - May 2024,Myanmar,Epidemic,https://reliefweb.int/disaster/ep-2024-000119-mmr,"The military-controlled Ministry of Health has confirmed the presence of cholera in Yangon in an official statement. As of 17 July, there are 77 confirmed cases of hospitalisation. According to other reports, cholera cases have also been identified in Rakhine, Chin and East Bago regions, with local media reporting over 240 hospitalisations. The World Health Organization (WHO) is providing training to local health workers, while the in-country water, sanitation and hygiene (WASH) humanitarian cluster has a response plan that includes a rapid response team, capacity building, water supply and provision of non-food items (NFIs). Rapid assessment is partially hindered by ongoing conflict and access restrictions across the country. DG ECHO is assessing the situation and possible response together with humanitarian partners. (ECHO, 17 Jul 2024)"
Armenia: Floods - May 2024,Armenia,Flash Flood,https://reliefweb.int/disaster/ff-2024-000087-arm,"A severe flash flood struck the Lori and Tavush regions in Armenia on 26 May 2024, following heavy rain the previous day. Between Alaverdi and Chochkan, the flooding affected at least 15 villages, including Alaverdi, Akhtala, Bagratashen, Bendik, Deghdsavan, Haghtanak, Karkop, Mets Ayrum, Pokr Ayrum, Sanahin, Shamlug, and Shnogh. The flooding resulted in significant damage to infrastructure, homes, livestock, and businesses. Based on the latest national population census of Armenia, the combined population of these villages exceeds 30,000 people. (IFRC, 13 Jun 2024)"
Tropical Cyclone Remal - May 2024,Bangladesh,Tropical Cyclone,https://reliefweb.int/disaster/tc-2024-000083-bgd,"A deep depression over the Bay of Bengal intensified into Cyclonic storm “Remal” and it is expected to make landfall near West Bengal and Bangladesh coasts around midnight between 26 and 27 May. Wind speed ranging 90-120 kmph (with a maximum up to 135) and a surge height ranging 3-4 m are expected in the coastal areas of Satkhira, Khulna, Bagerhat, Pirojpur, Hatia, Bhola, Patuakhali, Barisal, Noakhali, Lakshmipur, Feni, Cumilla, Chittagong and Cox's Bazar. There is a particular alert for Rohingya camps and hill districts for heavy rainfall and subsequent landslide risks. The overall potential exposed population is 1.9 million, who may be displaced during the cyclone, with almost 0.5 million houses estimated to be possibly damaged or destroyed. (ECHO, 26 May 2024)"
Botswana: Drought - May 2024,Botswana,Drought,https://reliefweb.int/disaster/dr-2024-000091-bwa,"On May 24, 2024, the Rural Development Secretariat under the Ministry of Local Government and Rural Development issued a report urging support due to the devastating impact of drought on food security drivers, nutrition, water supplies, and food production. The report highlighted a signicant decline in crop yields, with a drop from 206,572 tons harvested in 2021/22 to 125,184 tons in 2022/23. Cereal production in 2022/23 reached only 67,530 tons, which is equivalent to just 23% of the national requirement. The 2022/23 cropping season experienced low and highly erratic rainfall, along with extended dry periods, severely impacting food and agricultural production, disrupting urban water supplies, and damaging the rural economy and socio-cultural structures. As a result, the nation is experiencing signicant chronic food insecurity, with over 10% of the population facing food and nutrition problems.
The country has experienced dry spells and rainfall decits in recent years, leading the government to declare a drought emergency in July 2023. This marks the third consecutive year of severe drought, affecting arable agricultural land in a context where 70% of the rural population depends on agriculture for their livelihoods, primarily through rain-fed farming. Since then, 163,000 people have been categorized as food insecure. The SADC Synthesis Report on The State of Food and Nutrition Security and Vulnerability in Southern Africa indicated that 37,000 individuals in Botswana are experiencing food insecurity in 2024.
The El Niño drought effect in Southern Africa has further exacerbated the already critical drought situation. According to the Southern Africa Seasonal Monitor report, Botswana is currently experiencing El Niño conditions, leading to severe rain deficits and challenging harvest conditions across most of the region, with dry spells expected to persist. (IFRC, 12 June 2024)"
Mozambique: Drought - May 2024,Mozambique,Drought,https://reliefweb.int/disaster/dr-2024-000073-moz,"As vast parts of southern Africa grapple with an unprecedented mid-season dry spell, the food security situation in Mozambique continues to deteriorate. The compounded effects of El Niño, above-average temperatures, extreme weather events such as Tropical Storm Filipo, excessive floods, coupled with the lasting impact of past shocks such as Tropical Cyclone Freddy, are exacerbating the situation. The 2023-2024 El Niño has been one of the strongest on record, bringing below-average rainfall between October 2023 and February 2024 in southern and central Mozambique, and average to above-average rainfall to the northern part of the country. This disruption continues to impact agriculture and rural livelihoods. Between November 2023 and February 2024, typically the rainy season in Mozambique, the southern and central regions of the country experienced persistent dryness and unusually high temperatures, and many areas received less than half of their typical rainfall. These events in turn led to deteriorating vegetation conditions and crop wilting in parts of the central provinces. (IFRC, 27 May 2024)"
Papua New Guinea: Landslide - May 2024,PNG,Flood,https://reliefweb.int/disaster/ls-2024-000080-png,"A huge landslide occurred in the Enga province, central-northern Papua New Guinea on 23 May, resulting in casualties and widespread damage. According to DG ECHO partners, the total number of casualties remains unverified. Local media reports, as of 24 May, more than 100 fatalities across six villages (where the worst affected is the Kaokalam village) in the Porgera-Paiela district, Enga province due to the landslide occurred on very early morning, local time, of 24 May. Over the next 96 hours, more heavy rainfall with locally very heavy rainfall is forecast over the whole Papua New Guinea. (ECHO, 24 May 2024)"
Angola: Drought - May 2024,Angola,Drought,https://reliefweb.int/disaster/dr-2024-000095-ago,"In Southern Africa, the impact of El Niño began in November 2023 and has continued into the first quarter of 2024, with high temperatures and below average rainfall reported. A record mid-season dry spell has affected vast parts of the region including, Angola, Botswana, Malawi, Mozambique, Namibia, Zambia, and Zimbabwe ... The evolving drought crisis in Southern Africa is expected to continue to worsen already dire food insecurity levels, further driving malnutrition and spreading diseases like cholera. Reports indicate that the impact of these dry conditions in Southern Africa is likely to be long-lasting, with FEWS NET projections indicating the possibility of elevated needs for food
assistance during the lean season in early 2025. (IFRC, 14 Jun 2024)"
Namibia: Drought - May 2024,Namibia,Drought,https://reliefweb.int/disaster/dr-2024-000094-nam,"On 22 May, the Government of Namibia declared the State of Emergency following the worst drought that the country has experienced in 100 years. According to media reports, every one in five Namibians is considered food insecure. Against the backdrop of scarce rains, over 331,000 households have already registered for the government-funded drought relief programme to assist the affected communities. This programme amounts to EUR 40 million but it currently has a funding gap of EUR 25 million. At the extraordinary summit held on 20 May by the Southern African Development Community (SADC) to discuss the El Niño-induced drought and floods affecting member states, the Namibian President called for assistance from SADC countries and the International Community at large to bridge the above-mentioned funding gap. (ECHO, 29 May 2024)"
Belize: Wild Fires - May 2024,Belize,Wild Fire,https://reliefweb.int/disaster/wf-2024-000090-blz,"On May 16, the Toledo District Emergency Operations Centre was activated, and an emergency meeting was held with representatives of the Fire Department, the Forest Department, the Ministry of Infrastructure Development and Housing, the Ministry of Transport, Belize Defense Force, Ya’axché Conservation Trust and Toledo Institute for Development and Environment (TIDE). The Ministry of Blue Economy and Disaster Risk Management informed that the National Emergency Management Organization (NEMO) had been responding to reports of wildfires affecting the village of San Pedro Columbia and adjacent communities in the Toledo District. Initial assessments were conducted, and a plan of action was created to provide immediate humanitarian support to affected families. NEMO maintained contact with the chairpersons and alcaldes of San Pedro Columbia, Crique Jute, Mafredi, and San Antonio. Aerial reconnaissance was conducted on May 17th to confirm the extent of the fire, determine the initial damage assessment, and assist in plans to contain the fire. Based on this initial assessment and as a result of the wildfires affecting the community of San Pedro Columbia and adjacent communities in the Toledo District, the Ministry of Blue Economy and Disaster Risk Management and the NEMO informed that a proclamation declaring a state of public emergency for the district was signed by the Governor General on May 19. On May 20, the Government of Belize halted classes in localities of the country that had been affected by forest fires and suffered heavy environmental pollution due to this cause. The Ministry of Education declared the measure for all schools in the Toledo district and considered the action necessary due to the poor air quality in that area. Several local media reports document the extent of damage the fires have caused within the Toledo District. According to two media outlets, around one hundred farmers have lost their entire farms. The fires that swept through several communities in the Toledo District have left significant losses in their wake. The fires became a threat to the communities as they threatened farms in several Maya villages, starting in San Pedro, Columbia. The Belize Defense Force’s Cadenas Outpost near Graham Creek had also been consumed by the fires. Deputy Commander of the Belize Defense Force, Colonel Anthony Velasquez said the soldiers had to abandon the post. These media reports are supported by the ongoing needs assessment being conducted by the national authorities, which states that “the main effects in the Toledo District were loss of livelihoods and crops, temporary displacement, inconvenience, and respiratory health issues. There are no reports of injury, loss of life, or missing person(s).” (IFRC, 7 Jun 2024)"
Guatemala: Dengue Outbreak - May 2024,Guatemala,Epidemic,https://reliefweb.int/disaster/ep-2024-000099-gtm,"Dengue continues to be the arbovirus with the highest number of reported cases in the Americas region, with outbreaks occurring on a cyclical basis every 3 to 5 years. During the year 2024 between epidemiological weeks (SE, for its acronym in Spanish) 1 and 16 of 2024, a total of 6,769,140 suspected cases of dengue were reported (cumulative incidence of 717 cases per 100,000 population). This ígure represents an increase of 206% compared with the same period in 2023 and 387% compared with the average for the last 5 years (1)."
Sri Lanka: Floods and Landslides - May 2024,Sri Lanka,Flood,https://reliefweb.int/disaster/fl-2024-000077-lka,"Heavy rainfall, strong winds, thunderstorms and lightning continued to affect most of Sri Lanka since 10 May. The affected provinces are: Sabaragamuwa, Northern, Western, Southern, North Western, Central, North Central, Uva and Eastern. The Disaster Management Centre (DMC) reports, as of 23 May, four fatalities, ten injured people, nearly 1,000 damaged houses and a total of approximately 34,000 affected people across 18 districts throughout the aforementioned nine affected provinces. (ECHO, 23 May 2024)"
Grenada: Drought - May 2024,Grenada,Drought,https://reliefweb.int/disaster/dr-2024-000079-grd,"On May 10, 2024, [...] The Government of Grenada officially declared a water crisis due to an acute shortage of water resources. Effective from May 12, 2024, stringent water usage restrictions were enforced across the island. These measures aim to curb wasteful practices and encourage responsible water management during this critical period. The declaration and ensuing water restrictions was prompted by a combination of prolonged drought conditions, insufficient rainfall, and aging water infrastructure. Collectively, this led to critically low water levels in reservoirs. The government implemented several emergency measures to manage the crisis and mitigate its impacts on the population. The 2024 water crisis in Grenada is noted as the most severe in 14 years. This crisis is marked by unprecedented low water levels, significant water rationing, and stringent restrictions on water usage for non-essential activities. The declaration highlighted the extreme nature of the drought and the urgent need for conservation and improved water management strategies to ensure the availability of safe drinking water for the island's residents. (IFRC, 24 May 2024)"
Ethiopia: Floods - May 2024,Ethiopia,Flood,https://reliefweb.int/disaster/fl-2024-000074-eth,"Weeks of heavy rainfall and flooding in the East Africa region have triggered widespread displacement, with hundreds of thousands displaced across Burundi, Kenya, Rwanda, Somalia, Ethiopia and Tanzania. So far 637,000 people have been affected, including 234,000 displaced as of 3 May 2024, according to the UN Office for Coordination of Humanitarian Affairs, but the numbers keep rising. (IOM, 8 May 2024)"
Angola: Polio Outbreak - May 2024,Angola,Epidemic,https://reliefweb.int/disaster/ep-2024-000078-ago,"In the week of May 3rd, 2024, Angolan health authorities announced that polio had been detected in Chitato Municipality, Lunda Norte province, which borders the Democratic Republic of Congo (DRC). A person infected with 'circulating vaccine-derived poliovirus type 2' (cVDPV2) was confirmed. Although a polio outbreak had already been declared by the government on February 27th, 2024, due to environmental samples found in the provinces of Luanda and Huambo, the case on May 3rd was the first human case reported. The Government of Angola has classified the current outbreak as a Grade 2 emergency (i.e., moderate level – aligned with WHO classification) due to the high risk of virus spread, exacerbated by poor water and sanitation infrastructure and hard-to-reach populations. Additionally, there is an increased risk of cross-border transmission along the DRC-Angola border, with genetic sequencing indicating a link to a polio virus reported in the DRC's Cassai Oriental province, classified as cVDPV2 (Circulating Vaccine-Derived Poliovirus Type 2). (IFRC, 24 May 2024)"
Uganda: Floods - May 2024,Uganda,Flood,https://reliefweb.int/disaster/fl-2024-000075-uga,"Since the end of April, heavy rainfall has been affecting several parts of Uganda, causing floods and leading to casualties and damage. According to the International Federation of Red Cross and Red Crescent Societies (IFRC), as many as 49 people died, 28 are still missing, and 296 others have been injured. In addition, almost 18,500 people have been displaced and 39,185 affected across more than 15 districts of the country. For the next 48 hours, moderate rain is expected across the northern, central and southern parts of Uganda. With DG ECHO support, IFRC, through the Uganda Red Cross Society, is providing assistance with distribution of Non-Food Items (NFIs), de-silting kits to de-silt water channels and construct partly destroyed shelters, deployment of Red Cross volunteers, and is engaged in the search and rescue response along with district authorities. (ECHO, 15 May 2024)"
Lesotho: Drought - Apr 2024,Lesotho,Drought,https://reliefweb.int/disaster/dr-2024-000071-lso,"According to the weather update for quarter 1 of 2024 issued by the Lesotho Meteorological Services, the persistent heatwaves and exceptionally high temperatures experienced between January and March 2024 have led to widespread dryness of crops across most fields. The continuous crop failures over the past seasons is exacerbated. The past two quarters have seen the same crop failure leading automatically to the high food prices. There are 41% of rural families spending more than half of their income on food while most of the families leave with low income. In two consecutive agricultural seasons (2021/2022 and 2022/2023), Lesotho experienced harsh climatic induced shocks such as hailstorms, pests and heavy rainfall/waterlogging in most parts of the country. On the other hands, the heavy rainfalls in late December 2023 and early 2024 led to waterlogged fields which resulted in crop failure. The inflation resulting from this crop failures or production failures have a direct incidence to the families already struggling with low income and other factors that make them more vulnerable to food insecurity. Approximately, 325,000 individuals are experiencing the ramifications of the ongoing food insecurity based on IPC information, stemming from the enduring drought that has gripped the nation for years and increased the food insecurity situation. This figure represents approximately 22% of the population. Eight districts on the ten in Lesotho are under Integrated Food Security Phase Classification 3 (IPC3), signifying a crisis state. Berea, Maseru, Mafeteng, Mohale’s Hoek, Quthing, Thaba Tseka, and Leribe areas. In these districts, access to adequate food and nutrition is severely compromised, necessitating urgent intervention and support measures to alleviate the hardship faced by affected communities. (IFRC, 17 May 2024)"
Colombia: Floods - Apr 2024,Colombia,Flood,https://reliefweb.int/disaster/fl-2024-000117-col,"Since April 21, 2024, communities in the La Mojana subregion have faced heavy rains that have affected their daily lives. The leaks in the Jarillón Cara de Gato work, completed in February, increased the water levels in the pipes and swamps. On May 6, the Jarillón ruptured again, followed by the Jarillón Los Arrastres rupture on May 8. These breaks, together with the rainy season, have affected 38,854 people (12,995 families) in the communities of San Jacinto del Cauca (Bolívar), Guaranda, Sucre, Majagual, San Benito Abad, San Marcos, Caimito (Sucre) and Ayapel (Cordova).  (OCHA, 16 Jul 2024)"
Bangladesh: Heat Wave - Apr 2024,Bangladesh,Heat Wave,https://reliefweb.int/disaster/ht-2024-000056-bgd,"Based on the Bangladesh Meteorological Department (BMD) data source dated 21 April 2024, severe to very severe, heatwave was sweeping some districts of the country where mild-moderate heatwave was sweeping over most of the districts of the country. BDRCS forecast monitoring report indicates maximum temperatures exceeding to 38 degree Celsius, with the heat index surpassing 38 for two or more consecutive days. On 24 April 2024, severe heatwave (>=40 degree Celsius) was observed in the district of Rajshahi, Pabna, Khulna, Bagerhat, Jeshore and Patuakhali. On 26 April 2024, Bangladesh set all-time heatwave record as the Meteorological Office recorded 24 days of heatwave during the month of April breaching previous 23 days of heatwave in 2019. According to BMD dated on 27 April 2024, severe to very severe heatwave (>=40 degree Celsius) has been observed in the district of Rajshahi, Pabna, Chuadanga, Natore, Chapai Nawabganj, Kushtia, Jhenaidah, Jashore, Meherpur and Bogura. Moderate heat wave (>38- 39.9 degree Celsius) is sweeping over the district of Bagerhat, Satkhira, Barguna, Barishal, Patuakhali, Jhalokathi, Bhola, Pirojpur, Sherpur, Mymensingh, Sirajganj, Tangail, Jamalpur, Thakurgaon, Joypurhat, Panchagarh, Lalmonirhat, Faridpur, Madaripur, Magura, Manikganj, Rajbari, Gazipur, Gopalganj, Nilphamari, Rangpur, Naogaon, Gaibandha and it may spread. According to the observed heatwave, most impacted divisions are Rajshahi, Khulna, Rangpur, Dhaka and Barisal ... According to Directorate General of Health Services (DGHS) as of 30 April, a total of 10 people died of suspected heat stroke in different parts of Bangladesh. As the heatwave has been sweeping over the country, the government of Bangladesh declared closing of schools and colleges for one week up to 27 April and forced 33 million children out of schools in Bangladesh. According to daily Newspaper Prothom Alo, around 70 percentage of total Bangladesh population are impacted due to heatwave particularly people living in Khulna, Rajshahi, Rangpur, Dhaka and Barisal division for several days, causing significant hardship, particularly the people who are working outside in sun. (IFRC, 4 May 2024)"
